,brand,nod,location,model,varient,fuel,year,transmission,km,price
216,Hyundai,1st,"Pimpri Chinchwad, Pune, Maharashtra",i20,2015-2017 Sportz 1.2,CNG & Hybrids,2017,Manual,"15,000 km","₹ 6,64,999"
218,Toyota,2nd,"Avadi, Chennai, Tamil Nadu",Innova,2.5 V 8 STR,Diesel,2012,Manual,"250,000 km","₹ 7,00,000"
219,Maruti Suzuki,1st,"Katrasgarh, Lakarka, Jharkhand",Alto,2000-2005 LXi BSII,Petrol,2009,Automatic,"42,000 km","₹ 1,25,000"
221,Hyundai,1st,"Narayanguda, Hyderabad, Telangana",Creta,1.6 SX Automatic Diesel,Diesel,2016,Automatic,"63,000 km","₹ 11,75,000"
222,Hyundai,1st,"MG Road, Bengaluru, Karnataka",Sonata,2.4 GDi MT,Petrol,2012,Manual,"38,000 km","₹ 6,66,000"
223,Honda,3rd,"Koduvally, Kozhikode, Kerala",City,i-VTEC VX,Diesel,2015,Manual,"105,000 km","₹ 7,99,999"
224,Toyota,3rd,"Lakshmisagara, Bengaluru, Karnataka",Qualis,RS,Diesel,2000,Manual,"150,000 km","₹ 1,70,000"
226,Maruti Suzuki,1st,"Fatima Nagar, Pune, Maharashtra",Wagon R,LXI,CNG & Hybrids,2006,Manual,"65,000 km","₹ 1,65,000"
227,Maruti Suzuki,1st,"Electricity Department Colony, Margao, Goa",Swift Dzire Tour,Others,Petrol,2019,Manual,"54,000 km","₹ 4,20,000"
228,Maruti Suzuki,2nd,"Banashankari, Bengaluru, Karnataka",Vitara Brezza,VDi,Diesel,2017,Manual,"31,000 km","₹ 8,25,000"
229,Nissan,1st,"Rachna Palace, Sirsa, Haryana",Micra,XE Petrol,CNG & Hybrids,2016,Manual,"70,000 km","₹ 3,25,000"
230,Maruti Suzuki,3rd,"Anna Nagar, Mulanur, Tamil Nadu",Omni,Others,LPG,2010,Automatic,"76,000 km","₹ 2,20,000"
233,Mahindra,1st,"Ballygunge, Kolkata, West Bengal",Scorpio,S3,Diesel,2018,Manual,"39,000 km","₹ 10,50,000"
234,Maruti Suzuki,1st,"Ghatkopar West, Mumbai, Maharashtra",Ciaz,2014-2017 ZDi,Diesel,2015,Manual,"114,000 km","₹ 6,25,000"
235,Maruti Suzuki,1st,"Jaswant Nagar, Jaipur, Rajasthan",Swift Dzire,1.2 Vxi BSIV,Petrol,2016,Manual,"66,000 km","₹ 5,25,000"
238,Maruti Suzuki,2nd,"SG Highway, Ahmedabad, Gujarat",Wagon R,LXI,Petrol,2009,Manual,"58,000 km","₹ 1,80,000"
239,Hyundai,1st,"Peer Gate Area, Bhopal, Madhya Pradesh",Grand i10,2016-2017 Magna,Petrol,2018,Manual,"26,000 km","₹ 5,50,000"
240,Mahindra,2nd,"Pratap Nagar, Hamirpur, Himachal Pradesh",Scorpio,1.99 S4 Plus,Diesel,2011,Manual,"90,000 km","₹ 3,80,000"
242,Mahindra,1st,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka",KUV 100,2016-2017 mFALCON G80 K4 Plus 5str,Petrol,2016,Manual,"50,000 km","₹ 5,20,000"
