,brand,nod,location,model,varient,fuel,year,transmission,km,price
1641,Renault,1st Owner,Hyderabad,Duster,85PS Diesel RxL,Diesel,2015,Manual,"77,769 Kms","5,53,500"
1642,Maruti,1st Owner,Hyderabad,Wagon R,VXI,Petrol,2018,Manual,"14,890 Kms","4,53,000"
1643,Hyundai,1st Owner,Hyderabad,i20,1.4 Magna Executive,Diesel,2017,Manual,"40,899 Kms","6,08,500"
1645,Maruti,1st Owner,Hyderabad,Swift,AMT VXI,Petrol,2018,Automatic,"45,536 Kms","6,45,000"
1647,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"53,411 Kms","6,37,500"
1702,Honda,2nd Owner,Hyderabad,Jazz,V,Petrol,2015,Manual,"38,339 Kms","5,65,500"
1703,Maruti,1st Owner,Hyderabad,Celerio,ZXI Optional AMT BSIV,Petrol,2018,Automatic,"14,610 Kms","5,40,000"
1704,Hyundai,1st Owner,Hyderabad,Santro,Sportz BSIV,Petrol,2018,Manual,"23,849 Kms","4,67,000"
1705,Honda,1st Owner,Hyderabad,Amaze,VX i-DTEC,Diesel,2014,Manual,"104,292 Kms","4,70,500"
1706,Maruti,1st Owner,Hyderabad,Ciaz,Zeta,Petrol,2017,Manual,"15,018 Kms","7,03,000"
1707,Hyundai,1st Owner,Hyderabad,Grand i10,1.2 Kappa Asta,Petrol,2017,Manual,"25,760 Kms","5,88,000"
1708,Hyundai,1st Owner,Hyderabad,Verna,1.6 VTVT SX,Petrol,2016,Manual,"74,830 Kms","6,37,000"
1709,Maruti,1st Owner,Hyderabad,Ignis,Alpha,Petrol,2017,Manual,"19,957 Kms","5,73,500"
1710,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"38,463 Kms","6,33,500"
1711,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2019,Manual,"22,988 Kms","6,16,000"
1712,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2015,Manual,"66,487 Kms","4,45,500"
1713,Renault,1st Owner,Hyderabad,Duster,85PS Diesel RxL,Diesel,2015,Manual,"77,769 Kms","5,53,500"
1714,Maruti,1st Owner,Hyderabad,Wagon R,VXI,Petrol,2018,Manual,"14,890 Kms","4,53,000"
1715,Hyundai,1st Owner,Hyderabad,i20,1.4 Magna Executive,Diesel,2017,Manual,"40,899 Kms","6,08,500"
1717,Maruti,1st Owner,Hyderabad,Swift,AMT VXI,Petrol,2018,Automatic,"45,536 Kms","6,45,000"
1719,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"53,411 Kms","6,37,500"
1794,Honda,2nd Owner,Hyderabad,Jazz,V,Petrol,2015,Manual,"38,339 Kms","5,65,500"
1795,Maruti,1st Owner,Hyderabad,Celerio,ZXI Optional AMT BSIV,Petrol,2018,Automatic,"14,610 Kms","5,40,000"
1796,Hyundai,1st Owner,Hyderabad,Santro,Sportz BSIV,Petrol,2018,Manual,"23,849 Kms","4,67,000"
1797,Honda,1st Owner,Hyderabad,Amaze,VX i-DTEC,Diesel,2014,Manual,"104,292 Kms","4,70,500"
1798,Maruti,1st Owner,Hyderabad,Ciaz,Zeta,Petrol,2017,Manual,"15,018 Kms","7,03,000"
1799,Hyundai,1st Owner,Hyderabad,Grand i10,1.2 Kappa Asta,Petrol,2017,Manual,"25,760 Kms","5,88,000"
1800,Hyundai,1st Owner,Hyderabad,Verna,1.6 VTVT SX,Petrol,2016,Manual,"74,830 Kms","6,37,000"
